Cardboard Management,إدارة الكرتون,
Operational Home,الرئيسية,
Supplies,التوريدات,
Suppliers,الموردون,
Payments,المدفوعات,
Expenses,المصروفات,
Inventory,المخزون,
Reports,التقارير,
Settings,الإعدادات,
Dashboard Settings,إعدادات لوحة المعلومات,
Quick Actions,إجراءات سريعة,
New Cardboard Supply,توريد كرتون جديد,
New Expense,مصروف جديد,
Cardboard Supply,توريد كرتون,
Quick Expense,مصروف سريع,
Payment Entry,سند دفع,
Purchase Invoice,فاتورة شراء,
Purchasing / Supplies,المشتريات / التوريدات,
Suppliers & Payments,الموردون والمدفوعات,
Stock Balance,رصيد المخزون,
Supplier Outstanding,مستحقات الموردين,
Purchase Register,سجل المشتريات,
Item,الصنف,
Items,الأصناف,
Warehouse,المخزن,
Warehouses,المخازن,
TODAY,اليوم,
CURRENT,الحالي,
THIS MONTH,هذا الشهر,
Charts,الرسوم البيانية,
More,المزيد,
Coming Soon,قريباً,
Scale Integration,تكامل الميزان,
Not implemented yet,لم يُنفذ بعد,
Today's Supplies Weight,وزن توريدات اليوم,
Today's Purchase Amount,قيمة مشتريات اليوم,
Today's Supplier Payments,مدفوعات الموردين اليوم,
Today's Expenses,مصروفات اليوم,
Current Stock Weight,وزن المخزون الحالي,
This Month Purchased Weight,وزن مشتريات هذا الشهر,
This Month Purchase Cost,تكلفة مشتريات هذا الشهر,
This Month Expenses,مصروفات هذا الشهر,
This Month Paid to Suppliers,المدفوع للموردين هذا الشهر,
Daily Supplied Weight,وزن التوريد اليومي,
Purchases by Cardboard Type,المشتريات حسب نوع الكرتون,
Top Suppliers,أكبر الموردين,
Posting Date,تاريخ القيد,
Supplier,المورد,
Cardboard Item,نوع الكرتون,
Weights (Kg),الأوزان (كجم),
Gross Weight,الوزن القائم,
Tare Weight,وزن الفارغ,
Net Weight,الوزن الصافي,
Supplier Weight Discount,خصم وزن المورد,
Discount Type,نوع الخصم,
Discount Value,قيمة الخصم,
Payable Weight,الوزن المستحق,
Price and Total,السعر والإجمالي,
Rate per Kg,سعر الكيلو,
Total Amount,المبلغ الإجمالي,
Linked Purchase Invoice,فاتورة الشراء المرتبطة,
Record Payment,تسجيل دفعة,
Payment Status,حالة الدفع,
Outstanding Amount,المبلغ المستحق,
Company,الشركة,
Expense Account,حساب المصروف,
Paid From Account,الحساب المدفوع منه,
Amount,المبلغ,
Description,البيان,
Journal Entry,قيد اليومية,
Status,الحالة,
